source_file,row_identifier,rule_id,column,observed_value,reason,decision
equipment.csv,EQ-M2X-009,EQP-SCH-002,commissioning_date,15/03/2020,Chaque valeur non nulle se lit comme une date.,quarantaine_examen_metier
equipment.csv,nan,EQP-KEY-001,equipment_id,nan,equipment_id est renseigne sur toutes les lignes.,quarantaine_rejet
equipment.csv,EQ-M2X-002,EQP-KEY-002,equipment_id,EQ-M2X-002,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-M2X-002,EQP-KEY-002,equipment_id,EQ-M2X-002,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-M2X-002,EQP-KEY-003,*,,Aucune ligne n'est un doublon exact d'une autre sur toutes ses colonnes.,correction_certaine
equipment.csv,EQ-M2X-007,EQP-CAT-001,criticality,urgent,"criticality inconnue de ('critical', 'high', 'low', 'medium') et marginale.",quarantaine_examen_metier
equipment.csv,EQ-M2X-008,EQP-VAL-001,rated_power_kw,-12.0,La puissance nominale renseignee est strictement positive.,quarantaine_examen_metier
events.csv,EVT-2026S1-B002,EVT-KEY-002,event_id,EVT-2026S1-B002,event_id est unique.,quarantaine_examen_metier
events.csv,EVT-2026S1-B002,EVT-KEY-002,event_id,EVT-2026S1-B002,event_id est unique.,quarantaine_examen_metier
events.csv,EVT-2026S1-B004,EVT-REF-002,equipment_id,EQ-UNKNOWN-999,equipment_id existe dans equipment.equipment_id.,quarantaine_examen_metier
events.csv,EVT-2026S1-B006,EVT-CAT-001,event_type,inspection,"event_type inconnu de ('alert', 'incident', 'intervention', 'observation') et marginal.",quarantaine_examen_metier
events.csv,EVT-2026S1-B007,EVT-CAS-002,severity,CRITICAL,severity dont seule la casse ou l'espacement devie d'une valeur connue.,correction_certaine
events.csv,EVT-2026S1-B005,EVT-TMP-001,end_at,2026-05-01T07:00:00Z,"Si end_at est renseigne, start_at lui est anterieur ou egal.",quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0034,MNT-SCH-003,"downtime_minutes, labor_hours, parts_cost_eur, parts_replaced_count",402,Chaque valeur non nulle se lit comme un nombre ; downtime_minutes et parts_replaced_count sont entiers.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0002,MNT-KEY-002,maintenance_id,MNT-2026S1-B0002,maintenance_id est unique.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0002,MNT-KEY-002,maintenance_id,MNT-2026S1-B0002,maintenance_id est unique.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0004,MNT-REF-001,event_id,EVT-UNKNOWN-999,event_id existe dans events.event_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0004,MNT-REF-002,equipment_id,EQ-UNKNOWN-999,equipment_id existe dans equipment.equipment_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0084,MNT-REF-002,equipment_id,EQ-UNKNOWN-999,equipment_id existe dans equipment.equipment_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0164,MNT-REF-002,equipment_id,EQ-UNKNOWN-999,equipment_id existe dans equipment.equipment_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0002,MNT-REF-003,equipment_id,EQ-M2X-002,equipment_id est identique a l'equipment_id de l'evenement designe par event_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0005,MNT-REF-003,equipment_id,EQ-M2X-024,equipment_id est identique a l'equipment_id de l'evenement designe par event_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0082,MNT-REF-003,equipment_id,EQ-M2X-002,equipment_id est identique a l'equipment_id de l'evenement designe par event_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0162,MNT-REF-003,equipment_id,EQ-M2X-002,equipment_id est identique a l'equipment_id de l'evenement designe par event_id.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0030,MNT-CAT-004,intervention_type,remote_diagnostic,"intervention_type inconnu de ('calibration', 'corrective', 'inspection', 'preventive', 'replacement') et marginal.",quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0032,MNT-CAT-005,outcome,pending_review,"outcome inconnu de ('follow_up_required', 'monitoring', 'no_fault_found', 'parts_ordered', 'resolved') et marginal.",quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0007,MNT-TMP-001,closed_at,2026-05-01T00:00:00Z,"Si closed_at est renseigne, opened_at lui est anterieur ou egal.",quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0002,MNT-TMP-003,opened_at,2026-05-03T16:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0005,MNT-TMP-003,opened_at,2026-05-04T07:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0006,MNT-TMP-003,opened_at,2026-05-04T12:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0007,MNT-TMP-003,opened_at,2026-05-04T17:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0009,MNT-TMP-003,opened_at,2026-05-05T03:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0010,MNT-TMP-003,opened_at,2026-05-05T08:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0011,MNT-TMP-003,opened_at,2026-05-05T13:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0012,MNT-TMP-003,opened_at,2026-05-05T18:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0013,MNT-TMP-003,opened_at,2026-05-05T23:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0014,MNT-TMP-003,opened_at,2026-05-06T04:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0015,MNT-TMP-003,opened_at,2026-05-06T09:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0016,MNT-TMP-003,opened_at,2026-05-06T14:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0017,MNT-TMP-003,opened_at,2026-05-06T19:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0018,MNT-TMP-003,opened_at,2026-05-07T00:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0019,MNT-TMP-003,opened_at,2026-05-07T05:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0020,MNT-TMP-003,opened_at,2026-05-07T10:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
maintenance_history.csv,MNT-2026S1-B0021,MNT-TMP-003,opened_at,2026-05-07T15:30:00Z,opened_at est posterieur ou egal au start_at de l'evenement designe.,quarantaine_examen_metier
